# jd	phase	mag	magdiff	activity
2453448.89628	0.44217	12.89893	0.032454542644329	passive
2453575.67766	0.44319	12.85037	-0.0173374320568414	passive
2455378.75263	0.44408	12.88048	0.011709248600539	passive
2452834.73096	0.44433	12.69494	-0.174127451657828	passive
2453527.79382	0.44684	12.86735	-0.00464669340112067	passive
2453203.80922	0.44857	12.82162	-0.0523413065962153	active
2452854.46627	0.44937	12.6028	-0.272054245795088	active
2452741.78238	0.45225	12.85408	-0.0239042595110668	passive
2455285.8097	0.45401	12.89426	0.014430540610606	passive
2454623.74858	0.45573	12.8688	-0.0127811077038942	passive
2454316.66414	0.45618	12.90581	0.0237792422316332	passive
2452817.86182	0.45663	12.77977	-0.102706770654725	passive
2455057.62193	0.45898	12.96811	0.083364310913808	passive
2454654.75789	0.46248	12.9391	0.0511696213753332	passive
2453127.78229	0.46283	12.85895	-0.0292855878807092	passive
2452882.67898	0.46347	12.85066	-0.0381272947875235	passive
2453158.77551	0.46387	12.87049	-0.0186378845809347	passive
2453268.65239	0.46464	12.84768	-0.0420942767965116	passive
2455254.85086	0.46517	12.9219	0.031687936873956	passive
2455040.73837	0.46616	12.96634	0.0753259518046416	passive
2453640.54539	0.46798	12.92376	0.0313261123599577	passive
2454702.67946	0.47223	12.89067	-0.00479450807479154	passive
2454268.81963	0.47378	12.61541	-0.28105675827096	active
2454333.61818	0.47401	12.96825	0.0716393476138553	passive
2455412.64509	0.4742	12.68743	-0.209298572005666	active
2453482.81034	0.47996	12.83797	-0.0619149058079209	passive
2453175.74143	0.48592	12.91732	0.0150620879393646	passive
2455429.58227	0.48605	12.69588	-0.206419102989054	active
2453237.72612	0.48737	12.85965	-0.0430411188183673	passive
2452789.78144	0.48951	12.8539	-0.0493239140833985	passive
2452868.66626	0.48966	12.90067	-0.00258643372601419	passive
2454885.85708	0.49108	12.871	-0.0325325699331476	active
2454592.86053	0.49202	12.98939	0.0857064619475114	passive
2453530.74184	0.49323	12.95009	0.046249897317546	passive
2454947.84588	0.49399	13.01249	0.108573502865175	passive
2454626.67897	0.49587	12.95881	0.0547781841321981	passive
2453657.52901	0.49631	12.92303	0.0189864943525588	passive
2453302.55064	0.49682	12.82909	-0.0749597279095866	passive
2452916.59547	0.50212	12.84875	-0.054889470190977	passive
2453254.67177	0.50223	12.91513	0.0115083905877977	passive
2453420.89661	0.5037	12.87589	-0.0274556826391095	passive
2453113.81754	0.50605	12.91344	0.0106810543680336	passive
2454302.72363	0.508	12.91937	0.017236261316123	active
2452758.85054	0.51059	12.86028	-0.0408254608791729	passive
2453192.73034	0.51613	12.749	-0.149126321915077	active
2454933.82669	0.51789	12.98442	0.0874685992807329	passive
2453640.68973	0.51921	12.68457	-0.211426233682468	passive
2454350.65236	0.52029	12.91217	0.0170029454529015	passive
2453674.50354	0.52142	12.91757	0.0233168710429617	passive
2454688.73313	0.52198	12.93231	0.0385274837742973	passive
2454564.78424	0.52635	12.94071	0.05100841486931	passive
2454657.76088	0.52839	12.90066	0.0131080306790849	passive
2452933.57425	0.52873	12.86524	-0.0219393697835475	passive
2453271.65493	0.53039	12.82487	-0.0604338323771891	passive
2454367.58894	0.53192	12.99648	0.112984594155606	passive
2453643.54761	0.53362	12.88874	0.00733885672683421	passive
2453288.59715	0.54403	12.82964	-0.0372978604264986	passive
2454240.85107	0.54635	12.61719	-0.246217433291504	active
2455463.56034	0.54655	12.48197	-0.381129020814647	active
2453130.83599	0.54674	12.8024	-0.0604054674863033	passive
2453240.71221	0.54728	12.87906	0.0170917628031102	passive
2453578.79083	0.54821	12.81849	-0.0420266203915567	passive
2452744.87243	0.54906	12.88622	0.0270402505497014	passive
2452854.74874	0.54964	12.6052	-0.253062334684648	active
2454888.8429	0.5509	12.72932	-0.126935928236154	active
2454257.78066	0.5555	12.51184	-0.336966441110517	active
2454550.78501	0.55733	12.91275	0.0669451891260771	passive
2454353.58543	0.56138	12.9045	0.0653700894703739	passive
2452761.8116	0.56162	12.81548	-0.0232541161916267	passive
2453660.53127	0.56196	12.86589	0.0277164746268301	passive
2454674.76129	0.56268	12.87681	0.0398229731479951	passive
2454305.69613	0.56309	12.754	-0.0823118901700841	active
2453257.66947	0.56626	12.83281	0.00169681564513091	passive
2453502.77902	0.56784	12.81015	-0.0183930718091663	passive
2454629.70411	0.56964	12.81381	-0.0118293403116727	passive
2455353.75522	0.57125	12.83446	0.0113910664893488	passive
2453164.72481	0.57557	12.81738	0.00104724779784426	passive
2453550.7004	0.57752	12.6853	-0.128081757596124	passive
2454612.82716	0.57918	12.72776	-0.083151857530904	passive
2454274.75709	0.58128	12.55656	-0.251278132445966	active
2454291.6641	0.58242	12.64667	-0.159521399696366	active
2453195.74065	0.58464	12.72285	-0.0801744214500211	active
2455274.91251	0.58605	12.80629	0.00525231240546553	passive
2454370.56304	0.58758	12.83278	0.0338788683804854	passive
2453677.51093	0.58889	12.84517	0.0480839574894745	passive
2454708.65101	0.59183	12.8075	0.0144473382996022	passive
2453615.56934	0.60274	12.80261	0.0242824579979679	passive
2452874.62002	0.60294	12.7597	-0.0183578471710106	passive
2454756.57658	0.603	12.46614	-0.311836921899916	active
2452905.61872	0.60592	12.80934	0.0353137668302139	passive
2455497.53603	0.60622	12.39621	-0.377408635261004	active
2454339.63439	0.60946	12.78707	0.0178815476685514	passive
2455260.89479	0.61046	12.78102	0.0132113322416778	passive
2454646.74516	0.61836	12.70618	-0.0504312493104297	passive
2453426.85749	0.61951	12.76337	0.008443857534008	passive
2453308.54147	0.62326	12.7349	-0.0144089315307276	passive
2453212.75706	0.62461	12.74433	-0.00290633577467325	passive
2454891.87001	0.62537	12.62076	-0.125296815128863	active
2452922.57843	0.62577	12.75094	0.00550770508805165	passive
2452874.68845	0.62723	12.7795	0.0363680918758131	passive
2453212.76525	0.62752	12.74519	0.00251877960593383	passive
2454677.76777	0.62983	12.79648	0.0575197380740597	passive
2455356.76472	0.63947	12.70669	-0.0161744082938444	passive
2453088.83899	0.63992	12.71983	-0.0022663539873875	passive
2454260.83653	0.64018	12.46271	-0.258942159345745	active
2453277.60933	0.64391	12.7037	-0.0115536143487827	passive
2454277.7537	0.64493	12.50587	-0.207628553946051	active
2453294.52166	0.64694	12.72777	0.0177312811351165	passive
2455435.67594	0.64899	12.4476	-0.258913712265631	active
2454759.53921	0.65458	12.41068	-0.286294154270971	active
2452891.67161	0.6554	12.67996	-0.0156295066933261	passive
2454584.87623	0.658	12.68299	-0.00824448309745662	passive
2453522.75687	0.65897	12.71305	0.0234245409490903	passive
2453584.74048	0.66004	12.65658	-0.0312817928156814	passive
2453632.63663	0.66077	12.63857	-0.048095781852517	passive
2453649.54457	0.66224	12.74647	0.0621934332665681	passive
2452877.60476	0.66238	12.68471	0.000659571388037961	passive
2453570.67131	0.66619	12.66988	-0.00812074611849845	passive
2453474.8878	0.66786	12.66498	-0.0104392922027436	passive
2454539.83102	0.66921	12.71516	0.0417925937586521	passive
2454956.79507	0.67051	12.68592	0.0144970415123353	passive
2455500.53458	0.67055	12.33367	-0.337693637299855	active
2453429.82532	0.67294	12.59388	-0.0739970563839982	passive
2455294.88888	0.67666	12.66862	0.0059257459831219	passive
2455342.78608	0.67776	12.66241	0.00118832712241179	passive
2454987.81524	0.68111	12.63034	-0.0265657227628484	passive
2452925.56967	0.68751	12.67612	0.026758299885703	passive
2453491.86457	0.69376	12.70018	0.0573059902179018	passive
2455390.72686	0.69433	12.60957	-0.0327552058637863	passive
2455438.62173	0.6946	12.45061	-0.191457735829509	active
2453091.81655	0.6968	12.64868	0.00865063532704902	passive
2453153.79752	0.69693	12.57393	-0.065982228233743	passive
2454359.61046	0.69996	12.66234	0.0250536047658496	passive
2453508.79131	0.7019	12.61796	-0.0177498907349509	passive
2454762.51193	0.70975	12.45185	-0.178308318833144	active
2453232.71831	0.70985	12.45657	-0.173526102389213	passive
2452829.84576	0.71033	12.5222	-0.107600424579163	passive
2455328.7927	0.71081	12.65023	0.0207203555951079	passive
2453139.75456	0.71239	12.64887	0.0202829729401852	passive
2453525.72624	0.71295	12.64483	0.0165572839883392	passive
2454666.73443	0.71355	12.70172	0.0737766880886905	passive
2453280.62525	0.71441	12.6169	-0.0105844212322879	passive
2454556.86986	0.71714	12.64038	0.0142491219744212	passive
2455038.63909	0.72102	12.63304	0.00856425028672625	passive
2454525.89058	0.72106	12.66054	0.0360796788960762	passive
2453652.52981	0.72185	12.62931	0.00514758087230938	passive
2455021.73849	0.72216	12.59471	-0.0293390612390994	passive
2454911.86585	0.72289	12.62779	0.00400000612293461	passive
2453621.54286	0.72304	12.65924	0.035501871563179	passive
2453477.86946	0.7262	12.61741	-0.00534356495462163	passive
2453249.67304	0.72793	12.58366	-0.0386417385251683	passive
2454973.87383	0.73261	12.64747	0.0260822231249378	passive
2454297.72242	0.73282	12.60587	-0.0154873010286849	active
2453218.70154	0.7346	12.60518	-0.0159552564336476	passive
2453125.75352	0.74272	12.55952	-0.061423292455471	passive
2452739.78685	0.74394	12.61965	-0.00138046581604456	passive
2454897.83866	0.74394	12.54637	-0.074660465816045	active
2453669.49968	0.7453	12.58622	-0.0349432624691044	passive
2454314.66467	0.74647	12.60354	-0.0177675253026699	passive
2454779.52099	0.74711	12.42571	-0.195688175501983	active
2454652.74745	0.74887	12.65595	0.0342597799155584	passive
2455376.80129	0.75145	12.60411	-0.0181215165365476	passive
2453266.65024	0.75398	12.60559	-0.0173027591632504	passive
2455283.84357	0.75613	12.63602	0.012464001446844	passive
2455376.81498	0.75631	12.6108	-0.0128157428039479	passive
2454748.56719	0.76007	12.46279	-0.162222446672478	active
2453573.75604	0.76112	12.60588	-0.0195731122590992	passive
2453463.89017	0.76425	12.64428	0.0173824203172543	passive
2453283.58363	0.76448	12.65068	0.0236685570649247	passive
2455489.53038	0.76461	12.32983	-0.297246267502125	active
2454362.61032	0.76476	12.67903	0.0518785158089745	passive
2452753.93439	0.76561	12.66384	0.0362538085664745	passive
2454959.88276	0.76648	12.65894	0.0308939531008043	passive
2452945.52138	0.76936	12.54506	-0.0846158695422119	passive
2452463.7636	0.76955	12.56641	-0.0633791944400439	active
2453156.8326	0.77423	12.61892	-0.0138867725656002	passive
2453638.59371	0.77523	12.61002	-0.0234878346035767	passive
2454765.52606	0.77962	12.38145	-0.25536402896199	active
2453142.76593	0.78127	12.62697	-0.0111790319854883	passive
2453511.8337	0.78179	12.65081	0.012230198714331	passive
2454235.88066	0.7821	12.62958	-0.0092588597924248	passive
2454559.87038	0.78218	12.64809	0.00918401470891439	passive
2453590.71974	0.78238	12.60246	-0.0366142848308204	passive
2454993.73954	0.78394	12.62046	-0.0199505551234278	passive
2453528.74569	0.7847	12.6533	0.0122235778095856	passive
2453624.53548	0.78527	12.60015	-0.0414320900904901	passive
2454300.6888	0.78573	12.58318	-0.0588140424502779	active
2453497.76154	0.78688	12.64557	0.00253118236454419	passive
2453497.76154	0.78688	12.64557	0.00253118236454419	passive
2453655.53364	0.78806	12.62487	-0.0192625342048665	passive
2454734.56142	0.78872	12.50575	-0.139003648752821	active
2454914.87191	0.78989	12.62348	-0.0223908819270253	passive
2453204.77711	0.79213	12.52562	-0.122445785555408	active
2454545.81194	0.79214	12.68678	0.0387042553495291	passive
2455269.85924	0.79239	12.63963	-0.00869517632665939	passive
2455348.74393	0.7925	12.67001	0.0215747977857941	passive
2453607.66058	0.79552	12.67294	0.0214200124346462	passive
2452742.75048	0.79588	12.65532	0.00342428018815788	passive
2454283.81792	0.79742	12.52457	-0.128951470145282	active
2455410.75432	0.80307	12.43705	-0.222675010964725	active
2452756.86043	0.8042	12.65056	-0.0104471999694038	passive
2455475.557	0.80477	12.3729	-0.288758814113859	active
